"Display Block below Price","Отображать блок под ценой"
"Display tax info and shipping cost link below the price on all pages","Отображать ссылку на информацию о налоге и стоимость доставки под ценой на всех страницах"
"Display Delivery time on Category Pages","Отображать время доставки на страницах категорий"
"CMS Page for Shipping Info","CMS страница с информацией о доставке"
"Show ""incl. Shipping Cost"" instead of ""excl. Shipping Cost""","Показывать ""вкл. стоимость доставки"" вместо ""без стоимости доставки"""
"No Page","Нет страницы"
"No Block","Нет блока"
"Incl. Tax","Включая налог"
"Incl. %s Tax","Включая %s налог"
"Excl. %s Tax","Исключая %s налог"
"excl. <a href=""%s"">Shipping Cost</a>","искл. <a href=""%s"">Стоимость доставки</a>"
"incl. <a href=""%s"">Shipping Cost</a>","вкл. <a href=""%s"">Стоимость доставки</a>"
"Display Product Weight below Price","Отображать вес товара под ценой"
"Unit for Product Weight","Единица измерения веса товара"
"e.g. g, kg, lb, ...","например: г, кг, фунты, ..."
"Shipping Weight %s","Вес посылки %s"

"If you want to add additional StoreViews (i.e. for multiple languages), please do so before submitting this form.","Если вы хотите добавить дополнительные представления магазинов (для других языков), пожалуйста, сделайте это до сохранения этой формы."
"Skip installation","Skip installation"
"MageSetup has been installed.","MageSetup установлен."
"Click <a href=""%s"">here</a> to set up your pages, blocks, emails and tax settings.","Нажмите <a href=""%s"">сюда</a> для настройки ваших страниц, блоков, писем и налоговых правил."
"Please choose the requested setups:","Пожалуйста, выберите необходимые установки:"
"Run MageSetup","Запустить MageSetup"
"Update System Config Settings","Обновить параметры системных настроек"
"i.e. newsletter confirmation, account confirmation, ..","т.е. подтверждение подписки, подтверждение учётной записи, .."
"Create CMS Pages and Blocks","Создать CMS страницы и блоки"
"i.e. shipping, conditions, revocation","т.е. доставка, условия, отмена"
"Create Checkout Agreements","Создать Правила продажи"
"Conditions","Условия"
"Language Package for CMS Pages/Blocks/Agreements","Языковой пакет для CMS страниц/блоков/соглашений"
"Create Email Templates","Создать шаблоны писем"
"German Email Templates","Шабоны писем на немецком языке"
"Configure Tax","Настроить налоги"
"Shipping from Germany","Доставка из Германии"
"All tax settings will be overwritten!","Все настройки налогов будут заменены!"
"Update Product Tax Classes","Обновить налоговые классы товаров"
"Old","Старый"
"New","Новый"
"Newsletter Subscribers Status History","История статусов подписчиков рассылки"

"MageSetup: CMS Blocks and Pages have been created.","MageSetup: CMS блоки и страницы созданы."
"MageSetup: Checkout Agreements have been created.","MageSetup: Правила продажи созданы."
"MageSetup: Email Templates have been created.","MageSetup: Шаблоны писем созданы."
"MageSetup: Tax Settings have been created.","MageSetup: Настройки налогов созданы."
"MageSetup: Product Tax Classes have been updated.","MageSetup: Налоговые классы товаров обновлены."
"MageSetup: System Config Settings have been updated.","MageSetup: Параметры системных настроек обновлены."

"Imprint","Imprint"
"Account","Номер счёта"
"Account owner","Владелец счёта"
"Bank number","Bank number"
"Bank name","Название банка"
"CEO","CEO"
"Owner","Владелец"
"Responsible for content","Ответственный за содержимое"
"Responsible for content address","Ответственный за адрес содержимого"
"E-Mail","E-Mail"
"Fax","Факс"
"IBAN","IBAN"
"Clearing","Clearing"
"SWIFT","SWIFT"
"BIC/SWIFT","BIC/SWIFT"
"Tax number","Tax number"
"Web","Web"
"VAT-ID","ИД плательщика НДС"
"Shop Name","Название магазина"
"Company 1","Компания 1"
"Company 2","Компания 2"
"Street","Улица"
"Zip","Почтовый индекс"
"City","Город"
"Telephone","Телефон"
"relevant for Austrian shops","актуально для австрийских магазинов"

"%s%%","%s%%"

"Recommended Extensions","Рекомендуемые модули"
"Popular Payment Methods","Популярные платёжные методы"
"Ip anonymization","Ip анонимизация"
"Ensures that the ip address of the customers doesnt get involved into the tracking","Гарантирует, что IP адреса клиентов не отслеживаются"

"Dynamic Shipping Tax Class Calculation","Динамические вычисление налогового класса доставки"
"<b>ATTENTION:</b> This setting overwrites the ""Tax Class for Shipping"" setting above!","<b>ВНИМАНИЕ:</b> Эта настройка заменяет настройку ""Налоговый класс на доставку"", расположенную выше!"

"Germany","Германия"
"Austria","Австрия"
"Switzerland","Швейцария"
"Shipping from","Доставка из"
"This setting is base for the tax rate setup!","Этот параметр — основа для настроек налоговых ставок!"

"[Show]","[Показать]"
"Visible in Checkout","Видымый в заказе"

"Display Additional Information","Отображать дополнительную информацию"
"Display content from text field below at the checkout confirm page directly above the checkout button","Отображать содержимое из поля ниже на странице подтверждения заказа сразу над кнопкой Заказать"

"Directory ""%s"" not found. Locale not installed?","Папка ""%s"" не найдена. Локаль не установлена?"
"Default Setting","Настройка по умолчанию"
"Use Default Setting","Использовать настройку по умолчанию"
"Select Locale","Выберите локаль"
"Create Transational Email Templates to be managed in the Magento admin area","Создать шаблоны транзакционных писем для возможности редактирования в панели администрирования Magento"
"Language Package for Email Templates","Языковой пакет для шаблонов писем"
"If your desired locale is missing, please check if it installed.","Если желаемая локаль отсутствует, пожалуйста, проверьте установлена ли она."
"If your desired locale is missing, it is not supported yet by MageSetup.","Если желаемая локаль отсутствует, она в данный момент не поддерживается MageSetup."

"Configuration Settings","Настройки конфигурации"
"CMS Settings","Настройки CMS"
"Email Settings","Настройки Email"
"Tax Settings","Настройки налогов"

"Delivery Time","Время доставки"
"Shipping Costs","Стоимость доставки"
"Hide estimated shipping costs in cart","Скрыть рассчитанную стоимость доставки в корзине"
"Replace with a link to the shipping costs cms page","Заменить ссылкой на CMS страницу с описанием стоимости доставки"
"Here you find information regarding the shipping costs.","Здесь вы найдёте информацию о стоимости доставки."
"Hide box ""Last Ordered Items""","Скрыть блок ""Последние заказанные товары"""

"Display on","Отображать на"
"On checkout (Magento Default)","В заказе (стандартном в Magento)"
"On customer registration (or on checkout, if customer not registered before)","При регистрации клиента (или в заказе, если клиент не зарегистрировался заранее)"
"On customer registration and on checkout","При регистрации клитента и в заказе"
"Nowhere","Нигде"
"Agreements not confirmed.","Соглашения не приняты."

"German Language Pack","Немецкий языковой пакет"
"Base Price","Цена (в основной валюте)"
"Newsletter Unsubscription for Guests, Double Opt In for registered Customers","Newsletter Unsubscription for Guests, Double Opt In for registered Customers"
"Debit Payment","Debit Payment"
"Cash on Delivery","Наличные"
"Bank Payment","Банковский перевод"
"Invoice Payment","Invoice Payment"
"Extension Key","Ключ модуля"
"MagentoConnect","MagentoConnect"
"Bank Information","Bank Information"
